"Choice_Number","Information","Reward","Subject","Trial","Age"
2,0.824354930701172,0.857142857142857,"YA1",15,20
3,0.837765997835731,0.666666666666667,"YA1",15,20
4,0.681471762241131,1,"YA1",15,20
1,0.865435039461617,0.636363636363636,"YA1",16,20
2,0.732725665419077,0.4,"YA1",16,20
3,0.97184483092906,0.222222222222222,"YA1",16,20
4,1.02510167307191,0.333333333333333,"YA1",16,20
5,0.693146688278022,0.166666666666667,"YA1",16,20
6,0.719020077324465,0.25,"YA1",16,20
7,0.724852328663574,0.4,"YA1",16,20
8,0.730824435527988,0.333333333333333,"YA1",16,20
9,0.692526559503308,1,"YA1",16,20
10,0.698587636285284,0.5,"YA1",16,20
11,0.683955169880114,0,"YA1",16,20
12,0.667348365782743,1,"YA1",16,20
1,0.865355377173426,0.583333333333333,"YA1",17,20
2,0.732661342748999,0.363636363636364,"YA1",17,20
3,0.971658788877045,0.2,"YA1",17,20
4,0.734477086365517,0.857142857142857,"YA1",17,20
5,0.823625508113291,1,"YA1",17,20
6,0.689494930191973,1,"YA1",17,20
1,0.86254402622167,0.272727272727273,"YA1",18,20
2,0.819766727009652,1,"YA1",18,20
3,0.824035397088102,1,"YA1",18,20
4,0.690603615426901,0.875,"YA1",18,20
1,0.862986787000888,0.333333333333333,"YA1",19,20
2,0.882414806021627,0.538461538461538,"YA1",19,20
3,0.829639578291113,0.625,"YA1",19,20
4,0.784660202144698,0,"YA1",19,20
5,1.37433342573135,0.888888888888889,"YA1",19,20
6,0.677005136219862,0.333333333333333,"YA1",19,20
7,0.646498264801985,0.8,"YA1",19,20
1,0.746787369105512,0.384615384615385,"YA1",20,20
2,0.829623786552848,0.5,"YA1",20,20
3,0.829413652270436,0.125,"YA1",20,20
4,1.10973141663522,0.25,"YA1",20,20
5,0.693142432407974,0.285714285714286,"YA1",20,20
6,0.786684532187469,0.4,"YA1",20,20
7,0.719014306434071,1,"YA1",20,20
8,0.783151607330797,0.5,"YA1",20,20
9,0.734697926259997,0.5,"YA1",20,20
10,0.658627563386667,1,"YA1",20,20
11,0.614712162304623,0.666666666666667,"YA1",20,20
1,0.746710490259794,0.357142857142857,"YA1",21,20
2,0.82946960601954,0.466666666666667,"YA1",21,20
3,0.82920017799313,0.111111111111111,"YA1",21,20
4,0.693146207538863,0.375,"YA1",21,20
5,0.80241982024739,0.5,"YA1",21,20
6,0.782533024534899,0.571428571428571,"YA1",21,20
7,0.741924499180348,1,"YA1",21,20
8,0.730645946085818,0.6,"YA1",21,20
9,0.623770080480648,1,"YA1",21,20
10,0.556967140652023,0.75,"YA1",21,20
1,0.746307308353323,0.571428571428571,"YA1",22,20
2,0.723034800173799,0.333333333333333,"YA1",22,20
3,0.903797593602985,0.307692307692308,"YA1",22,20
4,0.928487268602291,0.666666666666667,"YA1",22,20
5,0.733223506495024,0.833333333333333,"YA1",22,20
6,0.735465654899618,0.2,"YA1",22,20
7,0.692881770965713,0.666666666666667,"YA1",22,20
8,0.692148622833347,0.625,"YA1",22,20
9,0.68959812922997,0.444444444444444,"YA1",22,20
10,0.783178706175393,0.1,"YA1",22,20
1,0.745500984965643,0,"YA1",23,20
2,0.827207271836897,0.7,"YA1",23,20
3,0.693107921237824,0.666666666666667,"YA1",23,20
4,0.732239892452082,0.571428571428571,"YA1",23,20
5,0.823837786049289,0.181818181818182,"YA1",23,20
6,0.787725219899767,1,"YA1",23,20
7,0.939828657353261,0.333333333333333,"YA1",23,20
1,0.693122625841853,0.4,"YA1",24,20
2,0.747999050881856,0.5,"YA1",24,20
3,0.822958658543022,1,"YA1",24,20
4,0.754882273432918,0.7,"YA1",24,20
5,0.844364531768893,0.5,"YA1",24,20
6,0.646498264801985,0.8,"YA1",24,20
7,0.584388915842919,0.8,"YA1",24,20
1,0.862251486088712,0.285714285714286,"YA1",25,20
2,0.821146790191274,1,"YA1",25,20
3,0.828362601581754,0.9,"YA1",25,20
4,0.688305783271905,1,"YA1",25,20
1,0.746274778044502,0.3125,"YA1",26,20
2,0.828596383040146,0.4375,"YA1",26,20
3,0.731262245907983,0.727272727272727,"YA1",26,20
4,0.920555410685834,0.333333333333333,"YA1",26,20
5,0.740848911849707,1,"YA1",26,20
6,0.744145101154357,0.909090909090909,"YA1",26,20
7,0.667772381519225,1,"YA1",26,20
1,0.746159212330436,0.294117647058824,"YA1",27,20
2,0.747005985313864,0.666666666666667,"YA1",27,20
3,0.795972049115149,0.411764705882353,"YA1",27,20
4,0.922678296126022,0.375,"YA1",27,20
5,0.742854140223544,1,"YA1",27,20
6,0.746146220810368,0.916666666666667,"YA1",27,20
7,0.656890053829059,1,"YA1",27,20
1,0.746497238169859,0.615384615384615,"YA1",28,20
2,0.828425437314602,0.388888888888889,"YA1",28,20
3,0.738091258180376,0.875,"YA1",28,20
4,0.842607703405459,0.7,"YA1",28,20
5,0.677003885831585,1,"YA1",28,20
1,0.86370155106213,0.411764705882353,"YA1",29,20
2,0.732155617376978,0.571428571428571,"YA1",29,20
3,0.834866814860543,0.421052631578947,"YA1",29,20
4,0.764552019892188,0.277777777777778,"YA1",29,20
5,0.77267891027068,0.714285714285714,"YA1",29,20
6,0.792999235213985,0.727272727272727,"YA1",29,20
7,1.01166998590806,0.923076923076923,"YA1",29,20
1,0.863536956506385,0.388888888888889,"YA1",30,20
2,0.732023225179402,0.533333333333333,"YA1",30,20
3,0.69314022817476,0.454545454545455,"YA1",30,20
4,0.778320761664991,0.75,"YA1",30,20
5,0.737809448613818,0.428571428571429,"YA1",30,20
6,0.836727452477412,0.25,"YA1",30,20
1,0.863405156504677,0.368421052631579,"YA1",31,20
2,0.732209473089046,0.5625,"YA1",31,20
3,0.834555214172382,0.4,"YA1",31,20
4,0.741473930310245,0.888888888888889,"YA1",31,20
5,0.747206857254174,0.727272727272727,"YA1",31,20
6,0.671893133342521,1,"YA1",31,20
1,0.863206911487243,0.35,"YA1",32,20
2,0.8261220828577,0.928571428571429,"YA1",32,20
3,0.842607703405458,1,"YA1",32,20
4,0.677003885831586,1,"YA1",32,20
1,0.74616111170468,0.529411764705882,"YA1",33,20
2,0.693145955818963,0.416666666666667,"YA1",33,20
3,0.750665761523329,0.555555555555556,"YA1",33,20
4,0.835387565290201,1,"YA1",33,20
5,0.850603690761047,0.555555555555556,"YA1",33,20
